gene,chrom,n_snps,min_p,score
ITGB5,3,824,0.00877769,2.0566197611154173
ITGB6,2,656,0.0105994,1.9747187181375159
ITGB7,12,104,0.00540779,2.2669801816396435
ITGB8,7,510,0.0252046,1.598520190476226
ITGBL1,13,1321,0.00363337,2.439690374012804
ITIH1,3,160,0.0176384,1.7535408127805248
ITIH2,10,428,0.0065678,2.1825800806478823
ITIH3,3,164,0.0183502,1.7363591979828434
ITIH4,3,166,0.017737,1.7511198339757141
ITIH4-AS1,3,95,0.017737,1.7511198339757141
ITIH5,10,792,0.000889058,3.0510699057808606
ITK,5,490,0.00530774,2.2750903592308993
ITLN1,1,188,0.0111137,1.954141330611917
ITLN2,1,166,0.0106385,1.9731196020829316
ITM2B,13,195,0.0520991,1.2831697789732153
ITM2C,2,213,0.104927,0.9791127440065297
ITPA,20,235,0.0489429,1.3103103010920403
ITPK1,14,858,0.0109277,1.9614712362588977
ITPK1-AS1,14,63,0.0608233,1.2159300206780617
ITPKA,15,132,0.00660435,2.1801699192007544
ITPKB,1,404,0.00610211,2.2145199677912157
ITPKB-IT1,1,125,0.0122673,1.9112510138120502
ITPKC,19,180,0.0154793,1.8102486827365283
ITPR1,3,1859,0.000509495,3.292860073645905
ITPR1-DT,3,114,0.0401504,1.3963101236872324
ITPR2,12,2460,0.000244923,3.6109704296402474
ITPR3,6,650,0.00801438,2.0961300694413043
ITPRID1,7,779,0.00586543,2.231700143858466
ITPRID2,2,143,0.00120459,2.9191607464807676
ITPRIP,10,180,0.0121759,1.9144989273956552
ITPRIP-AS1,10,90,0.0121759,1.9144989273956552
ITPRIPL1,2,55,0.0175821,1.7549292541800943
ITPRIPL2,16,103,0.00116271,2.9345285923265196
ITSN1,21,880,0.00628377,2.2017797194880275
ITSN2,2,660,0.0128561,1.8908907581116001
IVD,15,190,0.00089621,3.0475902144950693
IVL,1,93,0.0293799,1.5319496867459699
IVNS1ABP,1,107,0.028372,1.5471100488235068
IWS1,2,246,0.00275239,2.560290028704118
IYD,6,392,0.00114977,2.939389027229817
IZUMO1,19,110,0.0249385,1.6031296720007764
IZUMO1R,11,130,0.0196848,1.705868993336928
IZUMO2,19,107,0.0119152,1.9238986635007058
IZUMO3,9,97,0.0665135,1.1770901985995696
IZUMO4,19,113,0.00138542,2.8584185471546855
JADE1,4,220,0.0159082,1.7983789576439164
JADE2,5,302,0.00271519,2.56619977452287
JAG1,20,247,0.0148235,1.8290492422929854
JAG2,14,178,0.00328005,2.4841195359960686
JAGN1,3,115,0.0139325,1.8559709482717621
JAK1,1,996,0.00458564,2.3386000429663873
JAK2,9,718,0.0112378,1.9493187013449893
JAK3,19,197,0.0168116,1.7743909517536447
JAKMIP1,4,1036,0.00299171,2.524080506898413
JAKMIP2,5,772,0.00429398,2.3671399827013224
JAKMIP2-AS1,5,405,0.00802583,2.0955100435610436
JAKMIP3,10,1154,0.00564144,2.248610026472107
JAM2,21,402,0.00341877,2.4661301156675086
